Ano,Trimestre,Total_Pessoas,Populacao_Ponderada,Ocupados_total,Ocupados_Ponderado,Taxa_Ocupacao,Ocupados_Renda_Total,Ocupados_Renda_Media,Carteira_Assinada_Total,Carteira_Assinada_Ponderado,Carteira_Assinada_Renda_Total,Carteira_Assinada_Renda_Media,Servidor_Publico_Total,Servidor_Publico_Ponderado,Servidor_Publico_Renda_Total,Servidor_Publico_Renda_Media,Conta_Propria_Total,Conta_Propria_Ponderado,Conta_Propria_Renda_Total,Conta_Propria_Renda_Media,Empregador_Total,Empregador_Ponderado,Empregador_Renda_Total,Empregador_Renda_Media,Renda_Media,Renda_Mediana,Renda_Media_Ponderada,Percentual_Carteira_Assinada,Percentual_Servidor_Publico,Percentual_Conta_Propria,Percentual_Empregador,Horas_Media_Semanal
2019,1,22418,9316555.00000656,6951,3119350.6951515703,31.00633419573557,10939305.0,1574.4537996545769,2349,1177903.62527542,3863317.0,1644.6645381013195,673,299653.98460011004,2224935.0,3305.9955423476968,2261,934713.99175546,2174156.0,971.907018328118,272,119805.81530691,1266562.0,4656.47794117647,1512.3910878112713,998.0,1640.9862179255615,10.478187171023285,3.0020519225622264,10.085645463466856,1.2133107324471406,37.49904665056565
2019,2,22377,9325898.00000392,6847,3114026.11994633,30.59838226750681,11136427.0,1627.418822154026,2282,1149648.98298797,3637350.0,1593.9307624890448,646,292053.57551604,2210013.0,3421.0727554179566,2214,943710.01514665,2281342.0,1046.007336084365,274,129473.17865441,1418800.0,5178.1021897810215,1543.575502008032,998.0,1679.3022912508566,10.197971131072082,2.8868927917057694,9.89408767931358,1.2244715556151406,37.34298268286379
2019,3,22372,9335385.00000463,6903,3122194.804558149,30.85553370284284,10806587.0,1565.491380559177,2274,1127288.35383269,3644127.0,1602.518469656992,581,261719.58972528,2034131.0,3501.0860585197934,2261,949255.56426476,2256688.0,1010.1557743957028,255,121699.84910387,1156769.0,4536.349019607843,1494.7118328231063,998.0,1616.0297928849182,10.164491328446273,2.596996245306633,10.106382978723405,1.1398176291793314,37.22921522921523
2019,4,22004,9344694.00000659,6933,3230280.6597411595,31.50790765315397,10927953.0,1576.9051948051947,2243,1147721.43464196,3559527.0,1586.94917521177,577,272436.45208918,2184397.0,3785.7833622183703,2290,1024327.12805509,2248909.0,990.2725671510348,255,120815.1000279,1156155.0,4533.941176470588,1504.9674666666667,998.0,1635.6353820056304,10.193601163424832,2.622250499909108,10.407198691147064,1.1588802035993455,37.526384026967456
2020,1,19349,9353824.00000794,5827,3016081.52114941,30.11525143418264,9508691.0,1631.8330187060235,1937,1127315.07925119,3207860.0,1656.097057305111,507,265759.38461764,1953587.0,3853.2287968441815,2058,980095.46938035,2122420.0,1047.5913129318856,240,131156.87893633,1048493.0,4368.720833333334,1563.9753390875462,1039.0,1650.7933475155965,10.010853274071012,2.6202904542870438,10.636208589591194,1.2403741795441623,37.57976653696498
2020,2,15309,9362586.00001927,3425,2230970.62721481,22.37246064406558,6104787.0,1782.4195620437956,1409,983367.56791462,2318279.0,1645.3364088005678,412,269950.27701491,1582311.0,3840.5606796116494,1360,825368.2655285099,1414508.0,1073.2230652503792,176,108697.65356892,850382.0,4831.715909090909,1673.7186936936937,1045.0,1698.8601120263747,9.203736364230192,2.6912273825854074,8.883663204650858,1.1496505323665818,38.00043554006969
2020,3,15054,9371371.00021294,3858,2575911.52858162,25.627740135512155,6734659.0,1745.634784862623,1365,978208.91692706,2241000.0,1641.758241758242,359,237361.09620106,1441184.0,4014.440111420613,1376,839073.6929103399,1463545.0,1098.7575075075074,175,114491.52297692,838150.0,4789.428571428572,1679.2322474806656,1045.0,1721.5032577635534,9.067357512953368,2.3847482396705195,9.140427793277532,1.1624817324299188,38.01880806707455
2020,4,14952,9379989.00093132,4291,2831678.4935185704,28.698501872659172,7319531.0,1705.7867629923094,1423,1006440.5556773,2356902.0,1656.2909346451158,363,238514.59499697,1431762.0,3944.2479338842977,1601,984975.66864355,1661086.0,1077.2282749675746,179,116752.22403235,979620.0,5472.737430167598,1648.368295847751,1045.0,1694.6234270838283,9.517121455323704,2.42776886035313,10.707597645799892,1.1971642589620115,38.13313795268997
2021,1,14539,9388431.00210946,4108,2832967.33930382,28.25503817318935,7279439.0,1772.015335929893,1325,980410.95596504,2250260.0,1698.3094339622642,366,251364.3222989,1552467.0,4241.713114754099,1605,1041033.2664934,1676341.0,1087.8267358857884,149,100566.91122480002,828110.0,5557.785234899329,1698.4026936026935,1100.0,1741.8059813456591,9.113419079716625,2.5173670816424787,11.039273677694476,1.024829768209643,38.103657217052586
2021,2,14563,9396447.003463589,4198,2853068.81972933,28.82647806083911,7443382.0,1773.0781324440209,1381,959838.88530254,2346687.0,1699.266473569877,344,245627.17505406,1407165.0,4090.595930232558,1648,1063571.50519776,1724641.0,1097.7982176957353,142,94078.3294474,901020.0,6345.211267605634,1703.3039628071729,1100.0,1780.363485012727,9.48293620819886,2.3621506557714755,11.316349653230793,0.9750738172079928,38.24654622741764
2021,3,17920,9404565.00179977,5289,2962307.51032322,29.51450892857143,8741515.0,1652.7727358668935,1682,1007744.4142444,2820585.0,1676.923305588585,382,211906.88455803,1307474.0,3422.7068062827225,2080,1096332.80833935,2061364.0,1035.861306532663,176,99816.88720264,1158800.0,6621.714285714285,1578.2413612565445,1100.0,1663.9764421122277,9.386160714285714,2.131696428571429,11.607142857142858,0.9821428571428572,38.2252839011356
2021,4,18812,9412510.00052282,5629,3085992.83837096,29.922389963852854,9054746.0,1608.5887368982058,1778,1059883.49341962,2998881.0,1686.6597300337455,394,208599.66616578,1366154.0,3467.395939086294,2198,1126348.61378543,2124267.0,1017.3692528735633,177,98589.19728113,1121834.0,6374.056818181818,1545.436366633696,1100.0,1662.7538086107525,9.45141399106953,2.0944078247926856,11.684031469274933,0.9408887943865616,38.242852654728246
2022,1,19218,9420301.00028469,5646,3009445.65504482,29.378707461754605,9327521.0,1653.522602375465,1848,1046620.52684096,3313670.0,1793.111471861472,419,222009.21303474,1437618.0,3431.069212410501,2172,1081746.79603188,2359038.0,1115.9120151371808,184,113072.81512596,997846.0,5423.076086956522,1586.5307753796965,1200.0,1696.7094918098985,9.615985014049327,2.1802476844624827,11.30190446456447,0.9574357373295868,38.06227161997564
2022,2,19535,9427674.00028523,5960,3193980.02601426,30.50934220629639,10115096.0,1697.733467606579,1832,1073625.14053653,3344525.0,1825.6140829694325,458,245755.80730161,1612907.0,3521.631004366812,2391,1156812.44515908,2530337.0,1138.2532613585245,208,115478.25853253,1005294.0,4833.144230769231,1618.890326555761,1212.0,1752.0957122894897,9.378039416432046,2.3445098541080114,12.239570002559509,1.0647555669311493,37.91961181923523
2022,3,19876,9435142.00034101,6091,3194942.80451787,30.64499899376132,10620939.0,1744.2829692888815,2020,1147689.51466568,3830071.0,1896.074752475248,435,230330.35583353,1663099.0,3823.216091954023,2406,1148567.0013223402,2701010.0,1200.9826589595375,198,113557.2527037,889512.0,4492.484848484848,1661.8517467900865,1212.0,1796.4516763104607,10.163010666130006,2.1885691285973032,12.10505131817267,0.9961762930167036,38.12839366515837
2022,4,19522,9442466.00056202,6141,3278749.29264133,31.456817948980635,11762784.0,1915.4509037616024,2103,1234694.87042105,4121569.0,1959.852116024727,461,250319.95058979,2001335.0,4341.290672451193,2311,1105387.8952901498,2686430.0,1258.8706654170571,223,122889.0308127,1269819.0,5694.255605381166,1840.4365199034985,1212.0,1988.696563534466,10.772461837926445,2.361438377215449,11.837926441962914,1.1423009937506403,38.20223591801634
2023,1,19418,9449640.00090242,5843,3162216.21458538,30.09063755278608,11657227.0,1995.0756460722232,2047,1194054.28094323,4020596.0,1964.1406936980948,455,257328.5115048,1980803.0,4353.413186813187,2231,1087432.6097930102,2699623.0,1301.0231325301204,208,117854.40626255,1465620.0,7046.25,1906.2992383025028,1302.0,2012.6583435977695,10.541765372334948,2.343186733958183,11.489339787825728,1.0711710783808837,38.22995843230404
2023,2,19340,9456422.0005069,5807,3155362.28771526,30.0258531540848,11987806.0,2064.727178780572,2017,1185832.4546445198,4082896.0,2024.2419434804165,427,235239.42885561,1925928.0,4510.370023419204,2261,1101724.65930633,2670278.0,1311.5314341846758,209,119003.41125967,1516868.0,7257.741626794258,1967.3500158881477,1320.0,2067.640590782799,10.429162357807654,2.2078593588417785,11.690796277145813,1.0806618407445707,37.84944461122786
2023,3,19614,9463283.0004998,5909,3108399.66838275,30.12644029774651,12225690.0,2068.9947537654425,2071,1175380.48128044,4407238.0,2128.072428778368,444,230928.47250589,2033925.0,4580.9121621621625,2265,1100046.35921413,2736988.0,1356.959841348537,218,115520.33179692,1367941.0,6274.95871559633,1971.3573846153847,1320.0,2095.146641954823,10.55878454165392,2.2636892015907004,11.547873967574182,1.111451004384623,37.877853715282825
2023,4,19383,9469998.0003825,6005,3171421.8484550696,30.980756332869007,12366165.0,2060.34071976008,2080,1185341.69982218,4389910.0,2110.533653846154,446,226140.26671013,2011989.0,4511.186098654708,2172,1073943.15824028,2935608.0,1443.9783571077226,219,115065.10678405,1385945.0,6328.51598173516,1954.161558206251,1320.0,2050.5836125003543,10.731052984574111,2.3009853995769487,11.205695712737969,1.129856059433524,37.684874551971326
2024,1,19774,9476554.00013392,6102,3131155.3372658803,30.858703347830485,12786073.0,2095.3905276958376,2137,1178088.12146646,4439193.0,2077.3013570425837,430,210103.43974061,2005673.0,4664.355813953488,2162,1050777.15988678,2931874.0,1414.9971042471043,251,125646.53993667,1464018.0,5832.741035856574,1970.833137829912,1412.0,2020.84345067187,10.807120461211692,2.174572671184384,10.933549104885202,1.2693435824820472,37.64777668677234
2024,2,19925,9482830.0001165,6482,3283209.3182078805,32.53199498117942,14498047.0,2237.007714858818,2108,1152154.0568414,4766739.0,2261.261385199241,477,237203.36075104,2332790.0,4890.545073375262,2261,1076493.55683744,3363864.0,1555.9037927844588,267,126891.16107329,1843049.0,6902.805243445693,2128.517592200085,1412.0,2194.443800215541,10.579673776662483,2.3939774153074027,11.347553324968631,1.3400250941028855,37.40642799023596
2024,3,19578,9489095.00008793,6467,3378568.08185829,33.0319746654408,14504330.0,2243.515854601701,2096,1180480.50237299,4749502.0,2265.983778625954,465,248697.84078211,2349927.0,5053.606451612904,2175,1054627.29243557,3357423.0,1603.3538681948423,242,126358.64908166,1531418.0,6328.173553719008,2135.0618382041507,1412.0,2228.8428204507068,10.705894371233017,2.3751149249157217,11.109408519767086,1.2360813157625907,37.25955132562883
2024,4,19279,9495219.0001028,6435,3446262.01455713,33.37828725556305,15460855.0,2402.6192696192697,2211,1276509.79217717,5406572.0,2445.306196291271,494,266116.10959307,2453393.0,4966.382591093117,2020,1020840.71277374,3430657.0,1730.906659939455,250,133201.52888838,1826777.0,7336.453815261044,2283.1180212014133,1412.0,2405.7656102494643,11.468437159603717,2.562373567093729,10.477721873541158,1.296747756626381,37.68403684861818
2025,1,19126,9501186.00009934,6030,3298101.89619245,31.527763254208928,15323052.0,2541.13631840796,2188,1264026.0391637,5457869.0,2494.455667276052,471,267093.01355853,2551572.0,5417.350318471337,1790,936741.04807896,3280174.0,1841.7596855699048,256,141617.80081932,1965335.0,7677.08984375,2452.768228776763,1518.0,2550.6315692345656,11.439924709819095,2.462616333786469,9.358987765345605,1.3384921049879746,38.06552581541612
2025,2,19098,9506841.00006276,6122,3375459.79571396,32.05571264006702,16139803.0,2637.2227124183005,2135,1236286.78001313,5568968.0,2608.415925058548,468,263922.37746556,2635615.0,5631.655982905983,1731,924425.83369381,3163465.0,1843.5110722610725,270,150731.34512148,1847099.0,6841.107407407408,2477.127427898764,1518.0,2617.6017476941997,11.179181066080218,2.4505183788878417,9.06377631165567,1.413760603204524,37.73659942363113
2025,3,19124,9512543.0000575,6326,3429410.15573787,33.07885379627693,16398185.0,2592.188586784698,2189,1251340.43466691,5714819.0,2610.698492462312,505,273072.26703898,2772495.0,5490.089108910891,1801,939323.8788073,3214557.0,1797.8506711409395,261,136064.77696457002,1831298.0,7016.467432950191,2481.144229369815,1518.0,2528.904913281657,11.44635013595482,2.640660949592136,9.417485881614724,1.3647772432545493,37.55361738633114
2025,4,19123,9518109.000000108,6610,3565630.45000505,34.56570621764368,17931811.0,2713.241186261159,2210,1277468.67404395,5947553.0,2691.200452488688,557,306067.20836034,3383118.0,6073.820466786356,1798,931863.04872573,3306248.0,1845.0044642857144,324,157261.15765566,2347356.0,7244.925925925926,2657.538030194105,1518.0,2627.777415643354,11.556764106050306,2.912722899126706,9.402290435601108,1.6942948282173298,37.68952812809976
